username,thumbnail,nfollowers,subfolder
ChainerFails,https://static-cdn.jtvnw.net/jtv_user_pictures/chainerfails-profile_image-ddb0e51323a59b72-300x300.png,"56,366 followers",/channel/chainerfails
Garge1,https://static-cdn.jtvnw.net/jtv_user_pictures/garge1-profile_image-8b288e88687d9d63-300x300.jpeg,"56,349 followers",/channel/garge1
Broeki1,https://static-cdn.jtvnw.net/jtv_user_pictures/broeki1-profile_image-227484925fb34cc2-300x300.png,"56,346 followers",/channel/broeki1
bchillz,https://static-cdn.jtvnw.net/jtv_user_pictures/bchillz-profile_image-2a5219e187922927-300x300.png,"56,321 followers",/channel/bchillz
StarLadder_HS_en,https://static-cdn.jtvnw.net/jtv_user_pictures/starladder_hs_en-profile_image-2a59c6660a9909c5-300x300.jpeg,"56,318 followers",/channel/starladder_hs_en
Talbadar,https://static-cdn.jtvnw.net/jtv_user_pictures/talbadar-profile_image-fe08f09042b05edd-300x300.png,"56,312 followers",/channel/talbadar
PmsProxy,https://static-cdn.jtvnw.net/jtv_user_pictures/pmsproxy-profile_image-81734a2b5b61fce8-300x300.png,"56,157 followers",/channel/pmsproxy
RaufBaba25,https://static-cdn.jtvnw.net/jtv_user_pictures/raufbaba25-profile_image-b59fcf059a6f6512-300x300.png,"56,153 followers",/channel/raufbaba25
Edberg,https://static-cdn.jtvnw.net/jtv_user_pictures/edberg-profile_image-5af6eeae5d199c6c-300x300.png,"56,142 followers",/channel/edberg
SUKnives,https://static-cdn.jtvnw.net/jtv_user_pictures/suknives-profile_image-22c972fbea8db0be-300x300.jpeg,"56,131 followers",/channel/suknives
UrQueeen,https://static-cdn.jtvnw.net/jtv_user_pictures/urqueeen-profile_image-3bd0794fd0eab47f-300x300.jpeg,"56,121 followers",/channel/urqueeen
Oshi7,https://static-cdn.jtvnw.net/jtv_user_pictures/oshi7-profile_image-1a7a9014bbe8eb06-300x300.png,"56,028 followers",/channel/oshi7
Rleeson85,https://static-cdn.jtvnw.net/jtv_user_pictures/rleeson85-profile_image-9b5dd165282e2f55-300x300.png,"55,956 followers",/channel/rleeson85
Janusz0821,https://static-cdn.jtvnw.net/jtv_user_pictures/janusz0821-profile_image-5f18670d8edd8df0-300x300.png,"55,932 followers",/channel/janusz0821
chapMAD,https://static-cdn.jtvnw.net/jtv_user_pictures/chapmad-profile_image-84ff183d791ef0ce-300x300.jpeg,"55,890 followers",/channel/chapmad
hashinshin,https://static-cdn.jtvnw.net/jtv_user_pictures/hashinshin-profile_image-6a24d818f13900c1-300x300.jpeg,"55,886 followers",/channel/hashinshin
Aka_Skinnyy,https://static-cdn.jtvnw.net/jtv_user_pictures/aka_skinnyy-profile_image-a83c928883047bcd-300x300.png,"55,877 followers",/channel/aka_skinnyy
JennaJulien,https://static-cdn.jtvnw.net/jtv_user_pictures/jennajulien-profile_image-ca1cdc9c0c44c020-300x300.jpeg,"55,874 followers",/channel/jennajulien
canceldota,https://static-cdn.jtvnw.net/jtv_user_pictures/canceldota-profile_image-9f4ec2f7dc46845e-300x300.jpeg,"55,871 followers",/channel/canceldota
花枝丸,https://static-cdn.jtvnw.net/jtv_user_pictures/cezombie-profile_image-5acdfa2b6849c7fb-300x300.jpeg,"55,866 followers",/channel/cezombie
J4CKIECHAN,https://static-cdn.jtvnw.net/jtv_user_pictures/j4ckiechan-profile_image-388b1e7eea32acb1-300x300.jpeg,"55,836 followers",/channel/j4ckiechan
Xixo,https://static-cdn.jtvnw.net/jtv_user_pictures/xixo-profile_image-2de13a67135a4206-300x300.png,"55,717 followers",/channel/xixo
BolumSonuCanavari,https://static-cdn.jtvnw.net/jtv_user_pictures/bolumsonucanavari-profile_image-f1d2c8f6317aedc1-300x300.png,"55,686 followers",/channel/bolumsonucanavari
ESL_dabo0,https://static-cdn.jtvnw.net/jtv_user_pictures/esl_dabo0-profile_image-fb8e3bc15965cc23-300x300.jpeg,"55,678 followers",/channel/esl_dabo0
dlive22891,https://static-cdn.jtvnw.net/jtv_user_pictures/dlive22891-profile_image-2205ef2af4d3ab3f-300x300.png,"55,549 followers",/channel/dlive22891
MeLoOniE,https://static-cdn.jtvnw.net/jtv_user_pictures/meloonie-profile_image-d4920c108ffabbec-300x300.jpeg,"57,929 followers",/channel/meloonie
ScufJumpn,https://static-cdn.jtvnw.net/jtv_user_pictures/scufjumpn-profile_image-38039d93ae918b03-300x300.png,"57,913 followers",/channel/scufjumpn
jennyeatsbabies,https://static-cdn.jtvnw.net/jtv_user_pictures/jennyeatsbabies-profile_image-c0fb2fac2670f3af-300x300.png,"57,896 followers",/channel/jennyeatsbabies
minerva,https://static-cdn.jtvnw.net/jtv_user_pictures/minerva-profile_image-737f01eff9d2f6d3-300x300.png,"57,867 followers",/channel/minerva
manuelferraratv,https://static-cdn.jtvnw.net/jtv_user_pictures/manuelferraratv-profile_image-4372907f78e12196-300x300.jpeg,"57,830 followers",/channel/manuelferraratv
Blazifyy,https://static-cdn.jtvnw.net/jtv_user_pictures/blazifyy-profile_image-3af1228ec47be9df-300x300.png,"57,744 followers",/channel/blazifyy
Emiru,https://static-cdn.jtvnw.net/jtv_user_pictures/emiru-profile_image-94b1bd48fb0ac067-300x300.jpeg,"57,643 followers",/channel/emiru
Frodan,https://static-cdn.jtvnw.net/jtv_user_pictures/frodan-profile_image-babd3547ba88f459-300x300.jpeg,"57,634 followers",/channel/frodan
Behzinga,https://static-cdn.jtvnw.net/jtv_user_pictures/behzinga-profile_image-3d4b390bea5900df-300x300.png,"57,499 followers",/channel/behzinga
兔頭,https://static-cdn.jtvnw.net/jtv_user_pictures/tim885885-profile_image-898411048b8a849c-300x300.jpeg,"57,347 followers",/channel/tim885885
Thorlar,https://static-cdn.jtvnw.net/jtv_user_pictures/thorlar-profile_image-4bd4d7b82e71afc3-300x300.jpeg,"57,205 followers",/channel/thorlar
tonkaaaaP,https://static-cdn.jtvnw.net/jtv_user_pictures/tonkaaaap-profile_image-c114b110bc6dc92c-300x300.jpeg,"57,187 followers",/channel/tonkaaaap
Nathanias,https://static-cdn.jtvnw.net/jtv_user_pictures/nathanias-profile_image-c9ec2cf53246eaa7-300x300.png,"57,184 followers",/channel/nathanias
esamarathon,https://static-cdn.jtvnw.net/jtv_user_pictures/esamarathon-profile_image-cfce57f00db6dbd0-300x300.png,"57,118 followers",/channel/esamarathon
iamkeeferz,https://static-cdn.jtvnw.net/jtv_user_pictures/iamkeeferz-profile_image-e35aa3193fd38f02-300x300.png,"57,111 followers",/channel/iamkeeferz
PR_Balrog,https://static-cdn.jtvnw.net/jtv_user_pictures/pr_balrog-profile_image-c5b240f4e2c5230d-300x300.jpeg,"57,076 followers",/channel/pr_balrog
vikared,https://static-cdn.jtvnw.net/jtv_user_pictures/vikared-profile_image-420414c57df275b8-300x300.jpeg,"56,947 followers",/channel/vikared
CarcinogenSDA,https://static-cdn.jtvnw.net/jtv_user_pictures/carcinogensda-profile_image-cd54b1d486b74a70-300x300.png,"56,933 followers",/channel/carcinogensda
Keepwishing3,https://static-cdn.jtvnw.net/jtv_user_pictures/keepwishing3-profile_image-756b9c66b9e16e4c-300x300.png,"56,928 followers",/channel/keepwishing3
Pootie33,https://static-cdn.jtvnw.net/jtv_user_pictures/pootie33-profile_image-ac23d706da3986e7-300x300.png,"56,922 followers",/channel/pootie33
